epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1995.61,0.71957,0.50773,1.1335,0.90752,0.84875,0.90348,0.67524,0.94231,0.61522,1.22114,0.0011882,0.0011882,0.0011882
43,2043.04,0.72964,0.52143,1.13468,0.87643,0.87077,0.90498,0.68037,0.9377,0.61655,1.22347,0.0011684,0.0011684,0.0011684
44,2090.5,0.73909,0.52037,1.14245,0.93454,0.86121,0.91042,0.68631,0.91708,0.59481,1.20352,0.0011486,0.0011486,0.0011486
45,2137.95,0.71357,0.49425,1.12077,0.91892,0.81495,0.8811,0.67144,0.95506,0.71312,1.28201,0.0011288,0.0011288,0.0011288
46,2185.39,0.71512,0.50806,1.12484,0.9225,0.8472,0.91042,0.69575,0.9161,0.61953,1.2073,0.001109,0.001109,0.001109
47,2232.89,0.70977,0.49604,1.11668,0.91115,0.85764,0.91707,0.693,0.89628,0.6126,1.19662,0.0010892,0.0010892,0.0010892
48,2280.37,0.71276,0.50738,1.12188,0.90737,0.86655,0.91525,0.68804,0.93466,0.60358,1.21893,0.0010694,0.0010694,0.0010694
49,2327.8,0.69822,0.4942,1.11963,0.93016,0.85308,0.91965,0.69035,0.91715,0.59047,1.22228,0.0010496,0.0010496,0.0010496
50,2375.25,0.69617,0.48763,1.10711,0.91343,0.86359,0.91473,0.69632,0.89885,0.57295,1.18483,0.0010298,0.0010298,0.0010298
51,2422.74,0.69395,0.48031,1.11194,0.90738,0.86655,0.91797,0.69994,0.8933,0.5915,1.18868,0.00101,0.00101,0.00101
52,2470.3,0.70111,0.48547,1.1115,0.94007,0.83727,0.92062,0.69888,0.89238,0.56788,1.18043,0.0009902,0.0009902,0.0009902
53,2517.76,0.68901,0.47705,1.10564,0.94733,0.83452,0.91592,0.70115,0.88099,0.57896,1.1828,0.0009704,0.0009704,0.0009704
54,2565.26,0.69999,0.48434,1.11255,0.91582,0.85181,0.91955,0.69643,0.91071,0.58566,1.19896,0.0009506,0.0009506,0.0009506
55,2612.69,0.68881,0.47797,1.10687,0.92806,0.85053,0.91439,0.70635,0.88728,0.58261,1.1718,0.0009308,0.0009308,0.0009308
56,2660.2,0.68227,0.45799,1.09715,0.92462,0.87011,0.92503,0.70465,0.87556,0.57953,1.1697,0.000911,0.000911,0.000911
57,2707.63,0.68016,0.47937,1.10165,0.90054,0.86477,0.90951,0.69823,0.88696,0.59511,1.18015,0.0008912,0.0008912,0.0008912
